"id","pregunta","a","b","c","d","correcta"
"11","De acuerdo con el artículo 380 de la Ley Orgánica 10/1995, de 23 de noviembre del Código Penal, el que condujere un vehículo a motor o un ciclomotor con temeridad manifiesta y pusiere en concreto peligro la vida o la integridad de las personas será castigado con las penas:","De prisión de tres meses a un año y privación del derecho a conducir vehículos a motor y ciclomotores por tiempo superior a uno y hasta tres años.","De prisión de seis meses a dos años y privación del derecho a conducir vehículos a motor y ciclomotores por tiempo superior a uno y hasta seis años.","De prisión de tres años a veinte años y privación del derecho a obtener nuevamente el permiso de conducir.","De prisión permanente revisable y privación del derecho a obtener nuevamente el permiso de conducir.","B"
"12","Dentro de los dispositivos obligatorios de alumbrado y señalización óptica regulados por el Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, toda motocicleta con sidecar deberá estar provista de una serie de dispositivos. Señala la respuesta INCORRECTA:","Luz de placa posterior de matrícula.","Luz de marcha atrás.","Luz de frenado.","Catadioptrico trasero no triangular.","B"
"13","Según el Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, todos los vehículos matriculados deberán figurar inscritos en:","El Registro Nacional de Vehículos. Dicho Registro tendrá naturaleza administrativa, dependiente del organismo autónomo Jefatura Central de Tráfico.","El Registro Autonómico de Vehículos. Dicho Registro tendrá naturaleza funcionarial, dependiente del organismo autónomo Jefatura Provincial de Tráfico.","El Registro Europeo de Vehículos. Dicho Registro tendrá naturaleza supranacional, dependiente de la Unidad Europea del Automóvil.","El Registro Estatal de Vehículos. Dicho Registro tendrá naturaleza administrativa, dependiente del organismo Jefatura General de Tráfico.","A"
"14","El Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, establece en su artículo 16 ""Dispositivos obligatorios de alumbrado y señalización óptica"", que todo automóvil deberá estar provisto, salvo excepciones, de:","Luces de gálibo posteriores, si el vehículo tiene como mínimo 4,10 metros de anchura.","Luz de la placa delantera de matrícula.","Luz de posición lateral en vehículos cuya longitud supere los 27 metros.","Catadioptricos traseros no triangulares.","D"
"15","Según el artículo 39 del Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, ¿Quién expide los permisos de circulación de los vehículos en régimen de matrícula diplomática?","Nadie, ya que no existen las matrículas diplomáticas.","La Jefatura Provincial de Tráfico de la provincia donde vaya a residir su titular, a instancia del delegado de Gobierno en esa Comunidad Autónoma.","La Jefatura Provincial de Tráfico de Madrid, a instancia del Ministerio de Asuntos Exteriores.","La Junta Central de Tráfico, a instancia del Ministerio del Interior.","C"
"16","Según el artículo 32 del Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, toda persona natural o jurídica que sea titular de un vehículo matriculado en España y que lo transmita a otra, deberá notificarlo a la Jefatura de Tráfico de la provincia en que tenga su domicilio legal o a aquélla en que fue matriculado el vehículo, en el plazo de:","10 días desde la fecha de transmisión.","3 semanas desde la fecha de transmisión.","20 días desde la fecha de transmisión si es persona natural y 2 meses si es persona jurídica.","1 mes desde la fecha de transmisión.","A"
"17","Según el artículo 35 del Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, cualquier Jefatura de Tráfico podrá acordar la baja definitiva de oficio de cualquier vehículo por existir la presunción de que el vehículo no ha cumplido las exigencias en materia de Inspección ITV obligatoria y de seguro de responsabilidad civil de suscripción obligatoria en los últimos:","15 años, impidiendo volver a obtener la autorización administrativa para circular.","10 años, pero no impide que, si el vehículo cumple a posteriori las condiciones para volver a obtener la autorización administrativa para circular, pueda ser rehabilitado.","25 años, impidiendo volver a obtener la autorización administrativa para circular.","La Administración no puede dar de baja definitiva ningún vehículo de oficio.","B"
"18","Según el anexo III, del Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, los retrovisores de la clase L:","Están destinados a tractores agrícolas y demás vehículos ecológicos.","Son retrovisores exteriores gran angular con gran campo de visión.","Son retrovisores de grandes dimensiones destinados a vehículos especiales.","Están destinados a las categorías de: ciclomotores de dos y tres ruedas, motocicletas, motocicletas con sidecar, vehículos de tres ruedas y cuatriciclos.","D"
"19","Teniendo en cuenta el anexo VIII del Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, el freno de estacionamiento:","Debe permitir controlar el movimiento del vehículo y detenerlo de una forma segura, rápida y eficaz, cualesquiera que sean las condiciones de velocidad y de carga y para cualquier pendiente ascendente o descendente en la que el vehículo se encuentre.","Debe impedir el movimiento del vehículo en una distancia razonable en caso de fallo del freno de servicio.","Debe impedir el movimiento del vehículo en una pendiente ascendente o descendente, en presencia del conductor.","Debe permitir mantener el vehículo inmóvil en una pendiente ascendente o descendente, incluso en ausencia del conductor, quedando mantenidos entonces los elementos activos en posición de aprieto por medio de un dispositivo de acción puramente mecánica.","D"
"20","Según el anexo X del Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, ¿cómo son las luces indicadoras de dirección en las motocicletas?","2 delante y 2 detrás, de color amarillo auto, situadas en los bordes exteriores y obligatorias desde el 1 de noviembre de 1999.","2 delante y 2 detrás, de color blanco, situadas en los bordes exteriores y opcionales.","2 detrás, de color blanco amarillento, situadas en los bordes interiores y obligatorias desde el 1 de noviembre de 1999.","2 detrás, de color rojo, situadas en la parte lateral de la matrícula y obligatorias.","A"
"21","El anexo VII del Real Decreto 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, establece que los neumáticos de los vehículos comprendidos en las categorías M1, N1, 01 y 02 deben presentar, durante toda su utilización en las vías públicas, una profundidad en las ranuras principales de la banda de rodamiento que, como mínimo, debe ser de:","No es necesaria una profundidad mínima, salvo que el fabricante indique una específica.","2,5 cm.","En el caso de los neumáticos recauchutados será de un mínimo de 250 cc.","1,6 mm.","D"
"22","¿De qué color son las siglas ""ITV"" en el distintivo de inspección técnica (V-19) según el RD 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos?","Siempre violetas.","Siempre azules.","Depende del año de la inspección.","Los años pares de color amarillo y los impares de color rojo.","B"
"23","¿Cuál es la señal V-13 según el Anexo XI del RD 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos?","Vehículo gubernamental.","Conductor Novel.","Vehículo lento ocupado por minusválidos.","Transporte de mercancías altamente peligrosas.","B"
"24","¿Cómo es la matrícula de los vehículos especiales?","El fondo de las placas será retrorreflectante, de color blanco. Los caracteres estampados en relieve irán pintados en color rojo mate.","El fondo de las placas será fluorescente de color rojo y los caracteres irán pintados en color negro mate.","El fondo de las placas será retrorreflectante, de color verde. Los caracteres estampados en relieve irán pintados en color blanco mate.","El fondo de las placas será de color amarillento. Los caracteres estampados en bajorrelieve irán pintados en color blanco brillante.","A"
"25","Respecto a los accesorios, repuestos y herramientas de los vehículos, el Anexo XI del RD 2822/1998, de 23 de diciembre, por el que se aprueba el Reglamento General de Vehículos, establece que los turismos, así como los vehículos mixtos y los automóviles destinados al transporte de mercancías, estos dos últimos de masa máxima autorizada no superior a 3.500 kg, excepto los vehículos de tres ruedas y cuatriciclos, llevarán la siguiente dotación:","El dispositivo acústico de preseñalización de peligro V-16.","Un equipo homologado de extinción de incendios HS-27.","Un juego de pinzas para el arrancado manual del vehículo en caso de avería.","Una rueda completa de repuesto o una rueda de uso temporal, con las herramientas necesarias para el cambio de ruedas, o un sistema alternativo al cambio de las mismas que ofrezca suficientes garantías para la movilidad del vehículo.","D"
"26","De acuerdo con el Real Decreto 920/2017, de 23 de octubre, por el que se regula la inspección técnica de vehículos, ¿con que frecuencia pasarán la ITV los vehículos de categoría M1 utilizados como ambulancias y taxis, y de transporte escolar y de menores?","Hasta los 4 años estarán exentos, de 4 a 10 años será bienal y de más de 10 años semestral.","Hasta los 5 años anual y de más de 5 años será semestral.","Hasta los 4 años bienal y de más de 5 años será anual.","Será siempre anual.","B"
"27","Según el Real Decreto 920/2017, de 23 de octubre, por el que se regula la inspección técnica de vehículos, ¿durante cuánto tiempo se conservará el informe de inspección por la estación ITV?","No existe obligación por parte de la estación de la ITV de conservar la documentación.","Se conservarán hasta la siguiente inspección técnica.","Durante al menos 5 años.","Se conservarán hasta que se proceda a dar de baja el vehículo de forma definitiva.","C"
"28","Según el Real decreto 920/2017, de 23 de octubre, por el que se regula la inspección técnica de vehículos, se entenderá por vehículo:","Todo vehículo de ruedas provisto de un motor que se mueva por sus propios medios, incluidos los que circulen sobre raíles.","Todo medio de transporte que permite desplazar a personas o mercancías.","Todo medio de transporte con matrícula, seguro de responsabilidad civil e inspección técnica de vehículos en vigor.","Todo vehículo a motor, o su remolque, que no circule sobre raíles.","D"
"29","¿Quién puede prestar el servicio de recarga energética?","Las empresas energéticas mediante una concesión administrativa autonómica.","Cualquier consumidor, debiendo cumplir para ello los preceptos establecidos en el Real Decreto 184/2022, de 8 de marzo, por el que se regula la actividad de prestación de servicios de recarga energética de vehículos eléctricos.","Cualquier persona física o jurídica que autorice el Real Decreto 184/2022, de 8 de marzo, por el que se regula la actividad de prestación de servicios de recarga energética de vehículos eléctricos tras superar el proceso legalmente establecido para conseguir una concesión administrativa de carácter energética.","Cualquier consumidor que tenga un contrato vigente con Iberdrola.","B"
"30","El artículo 12 del Real decreto 818/2009, de 8 de mayo, por el que se aprueba el Reglamento General de Conductores, establece los periodos de vigencia de los permisos y licencias de conducción. Indica la respuesta correcta:","El permiso de conducción de las clases C1, C1+E, CyC+E tendrá un período de vigencia de siete años mientras su titular no cumpla los setenta y cinco años y de dos años a partir de esa edad.","El permiso de conducción de las clases A1, B y C tendrán un período de vigencia de diez años mientras su titular no cumpla los sesenta y siete años y de dos años a partir de esa edad.","El permiso de conducción de las clases C1, C1+E C, C+E, D1, D1+E, D y D+E tendrá un período de vigencia de cinco años mientras su titular no cumpla los sesenta y cinco años y será improrrogable a partir de esa edad.","El permiso de conducción de las clases A1, A2 y B tendrán un período de vigencia de diez años mientras su titular no cumpla los sesenta y cinco años y de cinco años a partir de esa edad.","D"
"31","Según el artículo 5 del Real decreto 818/2009, de 8 de mayo, por el que se aprueba el Reglamento General de Conductores, la obtención de los permisos de conducción que a continuación se indican implicará la concesión de los siguientes permisos:","La del permiso de la clase R2D2 o C3PO implica la concesión del de la clase A1.","La del permiso de la clase A2 implica la concesión del de la clase A3.","La obtención de un permiso no implicará la concesión de otro de forma automática.","La del permiso de las clases C1+E C+E D1+E Eo D+E implica la concesión del de la clase B+E","D"
"32","Para obtener la autorización especial para conducir vehículos que transporten mercancías peligrosas se necesita uno de los siguientes requisitos:","Ser declarado apto por el Ministerio de Trabajo en las correspondientes pruebas de aptitud.","Estar en posesión, con una antigüedad mínima de un año, del permiso de conducción ordinario en vigor de la clase B, al menos.","Estar en posesión, con una antigüedad mínima de cinco años, del permiso de conducción ordinario en vigor de la clase D, al menos.","No estar privado por resolución administrativa autonómica del derecho a conducir vehículos que transporten mercancías peligrosas.","B"
"33","Según el artículo 4 del Real decreto 818/2009, de 8 de mayo, por el que se aprueba el Reglamento General de Conductores, el permiso de conducción C1, autoriza a conducir:","Automóviles distintos de los que autoriza a conducir el permiso de las clases D1 o D, cuya masa máxima autorizada exceda de 3.500 kg y no sobrepase los 7.500 kg, diseñados y construidos para el transporte de no más de ocho pasajeros además del conductor. Dichos automóviles podrán llevar enganchado un remolque cuya masa máxima autorizada no exceda de 750 kg.","Automóviles cuya masa máxima autorizada no exceda de 3.500 kg que estén diseñados y construidos para el transporte de no más de ocho pasajeros además del conductor. Dichos automóviles podrán llevar enganchado un remolque cuya masa máxima autorizada no exceda de 750 kg.","Automóviles diseñados y construidos para el transporte de más de ocho pasajeros además del conductor y cuya longitud máxima no exceda de ocho metros.","Motocicletas con una potencia máxima de 35 kW y una relación potencia/peso máxima de 0,2 kW/kg y no derivadas de un vehículo con más del doble de su potencia.","A"
"34","De acuerdo con los establecido en el artículo 51 del Real Decreto 818/2009, de 8 de mayo, por el que se aprueba el Reglamento General de Conductors, cada solicitud para obtener permiso o licencia de conducción dará derecho:","A dos convocatorias para realizar las pruebas.","A tres convocatorias para realizar las pruebas, sin rebasar el plazo de 6 meses.","A cuatro convocatorias para realizar las pruebas, sin rebasar el plazo de 3 meses.","A realizar todas las pruebas que se convoquen en un plazo de 6 meses.","A"
"35","NO SERÁ una prueba a realizar para obtener autorización administrativa para conducir, según se establece en el artículo 43 del Real Decreto 818/2009, de 8 de mayo, por el que se aprueba el Reglamento General de Conductores:","Prueba de control de aptitudes y comportamientos.","Prueba de control de conocimiento.","Prueba de aptitud psicofísica.","Prueba práctica de mecánica del vehículo.","D"
"36","¿Cuál es la antelación máxima para poder presentarse a la primera convocatoria de las pruebas de control de conocimientos para poder obtener la clase de permiso o licencia de conducción de que se trate, según lo dispuesto en el Real Decreto 818/2009, de 8 de mayo, por el que se aprueba el Reglamento General de Conductores?:","Un mes antes del cumplimiento de la edad mínima exigida pero siempre deberá acudir a la prueba acompañado de sus padres o tutores legales.","Un año antes del cumplimiento de la edad mínima exigida.","Tres meses antes del cumplimiento de la edad mínima exigida.","Seis meses antes del cumplimiento de la edad mínima exigida, con la autorización expresa del tutor legal.","C"
"37","¿Quién fija la fecha de realización de las pruebas de aptitud?","La Jefatura Provincial de Tráfico a petición del interesado.","La Jefatura Central de Tráfico mediante edicto.","La Dirección General de Tráfico a petición del interesado y atendiendo a la capacidad de las instalaciones.","La Jefatura Central de Tráfico mediante sorteo entre las personas que lo hayan solicitado el mes anterior.","A"
"38","¿Cuál es el objeto principal del Decreto 106/2000, de 18 de julio, del Gobierno Valenciano?","Regular la contratación de servicios de transporte privado gestionado por la Generalitat Valenciana.","Determinar el régimen aplicable al conjunto de vehículos que integran el Parque Móvil del Gobierno Valenciano y su Administración.","Regular la contratación del personal funcionario que integra el Parque Móvil de la Generalitat Valenciana.","Fomentar el transporte público entre los ciudadanos que viven en la Comunitat Valenciana.","B"
"39","Los vehículos que integran el Parque Móvil del Gobierno Valenciano se clasifican:","En función de la conselleria a la que están adscritos.","En función de su antigüedad y coste económico.","En cuatro categorías atendiendo a su destino.","En vehículos oficiales y no oficiales.","C"
"40","La conducción de los vehículos de la clase C podrá realizarse:","Exclusivamente por el personal laboral nombrado por Decreto del Consell.","Por personal eventual designado por la conselleria usuaria.","Por personal de la Generalitat con la categoría de conductor o por personal adscrito a las consellerias debidamente autorizado por razón del servicio.","Siempre por personal de la Generalitat con la categoría de conductor y con complemento de destino E027 o superior.","C"
"41","Según el Decreto 106/2000, de 18 de julio, del Gobierno Valenciano, los vehículos de clase B estarán integrados por:","Los vehículos destinados al servicio de representación de altos cargos: subsecretarios, secretarios generales y directores generales, sin asignación individual ni permanente.","Los vehículos destinados a la cobertura de las necesidades ordinarias y generales de carácter administrativo de los diferentes órganos de la administración, indistintamente.","Los vehículos destinados a la Conselleria de Sanidad y a todos sus organismos autónomos.","Los vehículos destinados al servicio de los órganos técnicos de selección y personal de apoyo en las pruebas selectivas que convoca la Generalitat Valenciana.","A"
"42","De acuerdo con el Decreto 235/1999, de 23 de diciembre, del Gobierno Valenciano, la precedencia entre los presidentes o presidentas de las diputaciones provinciales se establece:","Por el orden alfabético de la provincia respectiva.","Por la extensión de las provincias respectivas.","Por el orden cronológico de su nombramiento, de mayor a menor antigüedad.","Por el número de habitantes de las provincias respectivas, sin perjuicio de la precedencia que corresponde al presidente o presidenta de la diputación en cuya provincia se organice el acto.","D"
"43","De acuerdo con el Decreto 235/1999, de 23 de diciembre, del Gobierno Valenciano, en los actos oficiales organizados por otras instituciones de la Comunitat Valenciana, la presidencia corresponderá:","Al delegado del Gobierno en la Comunitat Valenciana, al ostentar la representación ordinaria del Estado en ella.","A la autoridad organizadora del acto, salvo cuando asista el alcalde o alcaldesa del municipio donde se celebre.","A la autoridad organizadora del acto, salvo cuando asista el presidente o presidenta de la Generalitat Valenciana o el presidente o presidenta de las Cortes Valencianas, en cuyo caso ostentaría la presidencia este último o esta última por su orden.","Al alcalde o alcaldesa del municipio donde se celebre.","C"
"44","Según el Manual IX-Comportamiento y primeros auxilios en caso de accidente de tráfico de la DGT- ¿Cuál de las siguientes medidas adoptaremos para socorrer a las víctimas?","Atender en primer lugar a las personas trans con el objeto de alcanzar una igualdad real y efectiva entre todos los ciudadanos.","Dar a los heridos herbero de la Sierra de Mariola para levantar el ánimo.","Dirigir la atención y ayuda, en primer lugar, hacia las víctimas conscientes y sin hemorragias.","Evitar que los heridos anden o hacerles andar.","D"
"45","Según el Manual IX-Comportamiento y primeros auxilios en caso de accidente de tráfico de la DGT-, los conductores de los vehículos implicados en un accidente deberán:","Encender la señal de emergencia, tanto de día como de noche.","Avisar a las familias de las víctimas para que puedan desplazarse urgentemente al lugar del accidente.","Invadir la calzada con todas las balizas V16 disponibles para avisar al resto de conductores del accidente.","Colocar dispositivos de preseñalización de peligro a una distancia mínima de doscientos metros, del vehículo o su carga y en forma tal que sean visibles desde quinientos metros, al menos, por los conductores de los demás vehículos que se aproximen.","A"
"46","La Constitución Española de 1978, establece que el castellano:","Es la lengua española oficial del Estado. Todos los españoles tienen el deber de respetarla y la obligación de usarla.","Es la lengua principal en todo el Estado. Todos los españoles tienen el deber de conocerla y la obligación de usarla.","Es la lengua española oficial del Estado. Todos los españoles tienen el deber de conocerla y el derecho a usarla.","Es la lengua principal en todas las Comunidades Autónomas. Todos los ciudadanos la usaran con el debido respeto.","C"
"47","Según el artículo 9.1 de la Constitución Española, los ciudadanos y los poderes públicos están sujetos a:","Las directrices que marque la Agencia Tributaria.","La indisoluble unidad de la Nación española, patria común y divisible de todos los españoles, y reconoce y garantiza el derecho a la autonomía de las nacionalidades y regiones que la integran y la solidaridad entre todas ellas.","Las decisiones que adopte el Gobierno y las Comunidades Autónomas.","La Constitución y al resto del ordenamiento jurídico.","D"
"48","Respecto a la detención preventiva, la Constitución Española de 1978 establece que no podrá durar más del tiempo estrictamente necesario para la realización de las averiguaciones tendentes al esclarecimiento de los hechos, y, en todo caso, el detenido deberá ser puesto en libertad o a disposición de la autoridad judicial, en el plazo máximo de:","24 horas.","2 días.","72 horas.","2 semanas.","C"
"49","Según el Estatuto de Autonomía de la Comunitat Valenciana, son funciones de Les Corts:","Aprobar los Presupuestos de la Generalitat.","Aprobar los anteproyectos de Presupuestos Generales del Estado.","Aprobar leyes orgánicas y reales decretos.","Designar a los Diputados y Diputadas que deben representar a la Comunitat Valenciana.","A"
"50","Respecto al President de la Generalitat, el Estatuto de Autonomía de la Comunitat Valenciana establece:","El President de la Generalitat será elegido por Les Corts de entre los valencianos y valencianas que hayan adquirido la mayoría de edad y nombrado por el President de Les Corts.","Para su elección hace falta la mayoría absoluta de los miembros de derecho de Les Corts en primera votación. Si no se logra esta mayoría, la votación se repetirá cuarenta y ocho horas después y será suficiente la mayoría simple para ser elegido.","El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el presidente del Tribunal Constitucional.","El President es responsable políticamente ante Les Corts. Éstas pueden exigir la responsabilidad del Consell por medio de la adopción por mayoría simple de la moción de censura, propuesta como mínimo por la octava parte de los Diputados y Diputadas y que deberá incluir un candidato a la Presidencia.","B"
"51","¿Qué órgano colegiado de gobierno ostenta la potestad ejecutiva y reglamentaria de la Generalitat, según el Estatuto de Autonomía?","Les Corts Valencianes.","El Consell.","La mesa de Les Corts.","El Consell Jurídic Valencià.","B"
"52","Dentro de las funciones ejecutivas y administrativas establecidas en la Ley 5/1983, de 30 de diciembre, del Consell, compete al Consell:","Nombrar y separar a los vicepresidentes.","Aprobar los presupuestos de la Generalitat y las emisiones de deuda pública.","Plantear una cuestión de confianza sobre la gestión del President ante Les Corts. Se entenderá aprobada cuando obtenga la mayoría cualificada de tres quintos.","Nombrar y separar a los altos cargos de la Administración de la Generalitat, a propuesta del Conseller correspondiente.","D"
"53","La Ley 5/1983, de 30 de diciembre, del Consell, establece que será necesaria la mayoría absoluta de los miembros de derecho de Les Corts en primera votación para la elección del President de la Generalitat. Si no se logra esta mayoría:","La votación se repetirá dos semanas después y será suficiente la mayoría simple para ser elegido.","Se tendrá que presentar un nuevo candidato.","La votación se repetirá cuarenta y ocho horas después y será suficiente la mayoría simple para ser elegido.","La votación se repetirá setenta y dos horas después y será suficiente la mayoría simple para ser elegido.","C"
